id;name;date_of_birth;parent_mobile_number;parent_email;approval_status;student_id
1;Palladium;2020-07-26T23:15:06;Handmade Plastic Computer SAS Cheese;Bike Yuan Renminbi Chair;true;Credit Card Account Cheese
2;cross-platform Cambridgeshire scalable;2020-07-27T01:54:54;Representative Integration;Operations Kwanza;true;Bike global grey
3;Buckinghamshire;2020-07-27T00:47:41;Architect Baby;Electronics;true;Keyboard navigating Ukraine
4;Avon;2020-07-26T19:45:19;panel navigating;application action-items;false;Won
5;Ecuador XML core;2020-07-26T16:32:25;architect Quality innovate;Lodge Central;false;Granite Avon
6;Tala;2020-07-26T23:47:25;Mountains;Manager Security Drive;true;Identity
7;Chips copying deposit;2020-07-27T00:52:11;Facilitator compressing structure;Alaska;false;Total Iranian Rial
8;Clothing;2020-07-27T15:12:17;SQL Officer;Borders primary auxiliary;false;Argentine Peso
9;next generation iterate;2020-07-27T12:15:40;Lodge European Monetary Unit (E.M.U.-6) Arkansas;Plaza Awesome Plastic Pants;true;customer loyalty calculating
10;primary Trail array;2020-07-27T03:56:45;Product;portals impactful Rustic;false;Cotton back-end engage
